                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3859,                 3.4913,                 1.4976,                0.25573,                0.02093,                0.03909,                0.01062,                 2.6258,                 3.8123,                 2.5096,             0.00027326,             0.00027326,             0.00027326
                      2,                 1.2449,                 2.5741,                 1.3918,                0.19372,                0.10087,                0.07066,                0.02417,                 2.7645,                   3.57,                 2.6415,             0.00054002,             0.00054002,             0.00054002
                      3,                 1.2221,                 2.1903,                 1.3571,                0.15503,                0.10886,                0.06164,                0.01865,                 2.7516,                 3.8973,                 2.7657,             0.00079578,             0.00079578,             0.00079578
                      4,                 1.2117,                  2.008,                 1.3545,                0.19134,                0.11103,                0.07234,                0.02312,                 2.7237,                 3.6203,                 2.6089,             0.00078352,             0.00078352,             0.00078352
                      5,                  1.167,                 1.9545,                  1.321,                0.17627,                0.11436,                0.08489,                0.03024,                 2.6065,                 3.2912,                 2.5497,             0.00078352,             0.00078352,             0.00078352
                      6,                  1.127,                 1.7598,                 1.2899,                0.17515,                0.15114,                 0.1038,                0.03797,                 2.5487,                 3.0544,                 2.3826,             0.00076703,             0.00076703,             0.00076703
                      7,                 1.0819,                 1.6979,                  1.279,                0.24033,                0.14768,                0.10625,                  0.036,                 2.5913,                 3.2886,                 2.4554,             0.00075053,             0.00075053,             0.00075053
                      8,                 1.0882,                 1.6707,                 1.2662,                0.13927,                0.14426,                0.07425,                 0.0263,                 2.4777,                 3.2513,                 2.3613,             0.00073404,             0.00073404,             0.00073404
                      9,                 1.0844,                 1.6121,                 1.2773,                 0.1556,                0.15056,                0.10286,                0.03861,                 2.5256,                 3.5056,                  2.365,             0.00071755,             0.00071755,             0.00071755
                     10,                 1.0678,                 1.5726,                 1.2506,                0.40957,                0.14194,                0.08705,                 0.0327,                 2.4847,                 3.3445,                 2.4103,             0.00070105,             0.00070105,             0.00070105
                     11,                 1.0262,                 1.5511,                 1.2345,                0.16701,                0.12642,                0.08633,                0.03671,                 2.4134,                 3.1142,                 2.2619,             0.00068456,             0.00068456,             0.00068456
                     12,                 1.0097,                 1.4352,                  1.227,                0.24326,                0.17707,                0.14413,                0.05302,                 2.5103,                 2.8999,                 2.3499,             0.00066807,             0.00066807,             0.00066807
                     13,                 1.0393,                 1.4271,                 1.2372,                0.12683,                 0.1884,                 0.1016,                 0.0354,                  2.534,                 3.2464,                 2.3061,             0.00065157,             0.00065157,             0.00065157
                     14,                 1.0045,                 1.3806,                 1.2186,                0.23083,                0.17082,                0.14724,                0.05646,                 2.4432,                 2.9006,                 2.2793,             0.00063508,             0.00063508,             0.00063508
                     15,                0.96157,                 1.3624,                 1.2044,                0.20868,                0.16486,                0.13477,                 0.0537,                 2.4156,                   3.01,                 2.3276,             0.00061859,             0.00061859,             0.00061859
                     16,                 0.9929,                 1.3121,                 1.2081,                0.23839,                0.18602,                0.14893,                0.04688,                 2.4639,                 2.9598,                 2.3519,             0.00060209,             0.00060209,             0.00060209
                     17,                0.93757,                 1.2523,                 1.1879,                0.24536,                0.17251,                0.12355,                0.04505,                   2.56,                 3.1035,                 2.3753,              0.0005856,              0.0005856,              0.0005856
                     18,                0.93198,                 1.2427,                  1.175,                0.26577,                0.20425,                0.16581,                 0.0599,                  2.444,                  2.721,                 2.2284,             0.00056911,             0.00056911,             0.00056911
                     19,                0.94862,                 1.2346,                  1.189,                0.26515,                0.16414,                0.13642,                 0.0474,                 2.5072,                 2.9704,                 2.3076,             0.00055261,             0.00055261,             0.00055261
                     20,                0.96072,                 1.2597,                 1.1919,                0.17677,                0.15899,                0.12358,                0.05136,                 2.4205,                 3.1036,                  2.218,             0.00053612,             0.00053612,             0.00053612
                     21,                0.94128,                 1.2014,                 1.1848,                0.18386,                0.17284,                0.13017,                0.05135,                 2.4508,                 3.0852,                 2.3211,             0.00051963,             0.00051963,             0.00051963
                     22,                0.93655,                 1.1815,                  1.184,                0.23259,                0.15977,                0.14564,                0.05409,                 2.3908,                 2.9118,                 2.3455,             0.00050313,             0.00050313,             0.00050313
                     23,                0.90008,                 1.0921,                 1.1561,                0.26526,                0.18311,                0.15355,                0.05747,                 2.3695,                 2.7898,                 2.2016,             0.00048664,             0.00048664,             0.00048664
                     24,                0.89355,                 1.1125,                 1.1553,                0.29889,                0.16158,                0.15557,                  0.056,                 2.4426,                 2.9563,                 2.3574,             0.00047015,             0.00047015,             0.00047015
                     25,                0.92269,                 1.1257,                 1.1632,                0.27009,                0.17246,                0.16187,                0.06287,                 2.3918,                 2.7579,                 2.2785,             0.00045365,             0.00045365,             0.00045365
                     26,                0.89531,                 1.0639,                 1.1568,                0.28956,                0.14023,                0.14803,                 0.0557,                 2.4572,                 2.8185,                 2.3053,             0.00043716,             0.00043716,             0.00043716
                     27,                0.88145,                 1.0373,                 1.1344,                0.27905,                0.17128,                0.15084,                0.05678,                 2.4575,                 2.7961,                 2.2721,             0.00042066,             0.00042066,             0.00042066
                     28,                0.88392,                   1.05,                 1.1428,                0.21538,                0.17197,                0.13237,                0.05143,                 2.5021,                 2.8264,                  2.307,             0.00040417,             0.00040417,             0.00040417
                     29,                0.88342,                 1.0445,                 1.1572,                0.29561,                0.19141,                0.18087,                0.06513,                 2.3926,                 2.7602,                 2.2597,             0.00038768,             0.00038768,             0.00038768
                     30,                0.85885,                 1.0109,                 1.1254,                0.28288,                0.20157,                0.16982,                 0.0659,                 2.4513,                 2.7739,                 2.3022,             0.00037118,             0.00037118,             0.00037118
                     31,                0.85186,                 0.9919,                 1.1296,                0.23745,                 0.1863,                0.16508,                0.06348,                 2.3746,                 2.8051,                 2.2252,             0.00035469,             0.00035469,             0.00035469
                     32,                0.87112,                0.99951,                 1.1409,                0.41613,                0.17621,                0.19202,                0.07802,                 2.4047,                 2.7272,                 2.2464,              0.0003382,              0.0003382,              0.0003382
                     33,                0.82354,                0.95438,                 1.1164,                0.28139,                0.18349,                0.16857,                0.06369,                 2.4041,                 2.8118,                 2.2975,              0.0003217,              0.0003217,              0.0003217
                     34,                0.83814,                0.95398,                 1.1147,                0.32147,                0.18381,                 0.1726,                0.06399,                 2.3989,                 2.7913,                 2.2747,             0.00030521,             0.00030521,             0.00030521
                     35,                0.85633,                0.92815,                 1.1221,                 0.3284,                0.21464,                0.19364,                0.07108,                  2.404,                 2.7238,                 2.2465,             0.00028872,             0.00028872,             0.00028872
                     36,                0.81979,                0.90571,                 1.1051,                0.31071,                0.18506,                0.17732,                0.06908,                 2.4059,                 2.7685,                 2.2257,             0.00027222,             0.00027222,             0.00027222
                     37,                 0.7973,                0.85353,                 1.0934,                0.25184,                0.20451,                 0.1685,                0.06513,                 2.3838,                 2.8131,                 2.2387,             0.00025573,             0.00025573,             0.00025573
                     38,                0.81064,                0.89477,                 1.1152,                0.25747,                0.20371,                0.17223,                0.06749,                 2.3675,                 2.7194,                 2.2261,             0.00023924,             0.00023924,             0.00023924
                     39,                0.82342,                0.89874,                 1.1075,                 0.1656,                 0.2229,                0.14846,                0.05983,                 2.3773,                  2.865,                 2.1743,             0.00022274,             0.00022274,             0.00022274
                     40,                0.77965,                0.85109,                 1.0852,                0.29591,                0.19221,                0.17049,                0.06957,                 2.3391,                 2.7457,                 2.1991,             0.00020625,             0.00020625,             0.00020625
                     41,                0.79781,                0.89511,                 1.0999,                0.29197,                0.21354,                0.18177,                0.07295,                 2.3432,                 2.7829,                  2.219,             0.00018976,             0.00018976,             0.00018976
                     42,                0.77219,                0.84762,                 1.0801,                0.30858,                0.20697,                 0.1786,                0.06831,                 2.3934,                 2.7824,                 2.2376,             0.00017326,             0.00017326,             0.00017326
                     43,                0.75997,                0.80416,                 1.0703,                0.27432,                0.21667,                0.18092,                0.06841,                 2.4069,                 2.7326,                 2.2182,             0.00015677,             0.00015677,             0.00015677
                     44,                  0.755,                0.81509,                 1.0743,                 0.2822,                0.19526,                 0.1773,                0.06718,                 2.3879,                   2.76,                 2.2356,             0.00014028,             0.00014028,             0.00014028
                     45,                0.75511,                0.78212,                 1.0658,                0.37677,                0.19248,                0.18378,                0.06911,                 2.4258,                 2.7261,                 2.2516,             0.00012378,             0.00012378,             0.00012378
                     46,                0.73431,                0.76993,                 1.0647,                0.35649,                0.21244,                0.21185,                0.08114,                 2.3728,                 2.6823,                 2.2217,             0.00010729,             0.00010729,             0.00010729
                     47,                0.75445,                0.77011,                 1.0635,                0.31408,                0.21099,                0.19264,                0.07286,                 2.3816,                 2.7251,                  2.242,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     48,                0.73879,                0.76048,                 1.0593,                0.28613,                0.22334,                0.18707,                0.07224,                 2.4364,                 2.7219,                 2.2833,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     49,                 0.7323,                0.74646,                 1.0535,                 0.3172,                0.21865,                0.19461,                0.07619,                 2.3999,                 2.7721,                 2.2559,              5.781e-05,              5.781e-05,              5.781e-05
                     50,                0.71161,                0.72088,                 1.0417,                0.32721,                0.21543,                0.19175,                0.07371,                 2.4183,                   2.74,                 2.2382,             4.1317e-05,             4.1317e-05,             4.1317e-05
